Tiempo ,U_YAW,U_PITCH,W_YAW,W_PITCH,YAW,PITCH,,,,,,,
28.32,2.39,16.374,0,-0.091,-0.003,-0.183,,,,,,,
28.34,2.341,16.267,0,-0.087,-0.003,-0.185,,,,,,,
28.36,2.581,16.775,0,-0.113,-0.003,-0.189,,,,,,,
28.38,2.701,16.994,0,-0.128,-0.003,-0.19,,,,,,,
28.4,2.489,16.572,0,-0.105,-0.003,-0.192,,,,,,,
28.42,2.35,16.291,0,-0.091,-0.003,-0.194,,,,,,,
28.44,2.299,16.178,0,-0.087,-0.003,-0.196,,,,,,,
28.46,2.283,16.135,0,-0.086,-0.003,-0.197,,,,,,,
28.48,2.275,16.106,0,-0.087,-0.003,-0.199,,,,,,,
28.5,2.519,16.622,0,-0.114,-0.003,-0.203,,,,,,,
28.52,2.381,16.285,0,-0.101,-0.003,-0.203,,,,,,,
28.54,2.293,16.156,0,-0.091,-0.003,-0.206,,,,,,,
28.56,2.483,16.511,0,-0.114,-0.003,-0.208,,,,,,,
28.58,2.356,16.251,0,-0.101,-0.003,-0.209,,,,,,,
28.6,2.253,16.037,0,-0.091,-0.003,-0.211,,,,,,,
28.62,2.208,15.936,0,-0.087,-0.003,-0.213,,,,,,,
28.64,2.445,16.437,0,-0.113,-0.003,-0.216,,,,,,,
28.66,2.562,16.649,0,-0.128,-0.003,-0.218,,,,,,,
28.68,2.349,16.222,0,-0.105,-0.003,-0.22,,,,,,,
28.7,2.21,15.939,0,-0.091,-0.003,-0.222,,,,,,,
28.72,1.903,15.274,0,-0.06,-0.003,-0.222,,,,,,,
28.74,2.014,15.529,0,-0.072,-0.003,-0.225,,,,,,,
28.76,2.589,16.684,0,-0.136,-0.003,-0.229,,,,,,,
28.78,2.631,16.751,0,-0.142,-0.003,-0.23,,,,,,,
28.8,2.074,15.602,0,-0.083,-0.003,-0.23,,,,,,,
28.82,3.37,15.442,0.026,-0.077,-0.002,-0.234,,,,,,,
28.84,2.969,16.005,0.014,-0.109,-0.003,-0.236,,,,,,,
28.86,1.137,15.942,-0.023,-0.1,-0.003,-0.237,,,,,,,
28.88,1.44,15.713,-0.014,-0.091,-0.003,-0.239,,,,,,,
28.9,1.601,15.025,-0.004,-0.061,-0.003,-0.239,,,,,,,
28.92,1.901,15.258,0,-0.073,-0.003,-0.243,,,,,,,
28.94,2.256,15.855,0,-0.11,-0.003,-0.244,,,,,,,
28.96,2.161,15.67,0,-0.101,-0.003,-0.246,,,,,,,
28.98,2.051,15.459,0,-0.092,-0.003,-0.248,,,,,,,
29,1.997,15.346,0,-0.088,-0.003,-0.25,,,,,,,
29.02,2.23,15.837,0,-0.113,-0.003,-0.253,,,,,,,
29.04,2.345,16.044,0,-0.128,-0.003,-0.255,,,,,,,
29.06,2.131,15.612,0,-0.105,-0.003,-0.257,,,,,,,
29.08,2.245,15.872,0,-0.118,-0.003,-0.26,,,,,,,
29.1,2.32,16,0,-0.127,-0.003,-0.262,,,,,,,
29.12,2.101,15.559,0,-0.105,-0.003,-0.264,,,,,,,
29.14,1.71,14.728,0,-0.064,-0.003,-0.264,,,,,,,
29.16,1.785,14.913,0,-0.073,-0.003,-0.267,,,,,,,
29.18,2.353,16.051,0,-0.135,-0.003,-0.271,,,,,,,
29.2,3.742,16.012,0.026,-0.142,-0.002,-0.272,,,,,,,
29.22,4.114,15.362,0.041,-0.11,-0.002,-0.274,,,,,,,
29.24,3.125,15.629,0.018,-0.118,-0.002,-0.278,,,,,,,
29.26,2.522,15.791,0.004,-0.127,-0.002,-0.279,,,,,,,
29.28,2.097,15.366,0,-0.104,-0.002,-0.281,,,,,,,
29.3,2.201,15.636,-0.001,-0.117,-0.002,-0.285,,,,,,,
29.32,2.555,16.316,0,-0.154,-0.002,-0.288,,,,,,,
29.34,2.479,16.123,0,-0.145,-0.002,-0.29,,,,,,,
29.36,1.891,14.9,0,-0.082,-0.002,-0.29,,,,,,,
29.38,2.096,15.388,0,-0.103,-0.002,-0.295,,,,,,,
29.4,2.498,16.15,0,-0.149,-0.002,-0.297,,,,,,,
29.42,2.208,15.57,0,-0.118,-0.002,-0.299,,,,,,,
29.44,0.896,15.776,-0.026,-0.122,-0.003,-0.302,,,,,,,
29.46,0.264,15.888,-0.041,-0.128,-0.003,-0.304,,,,,,,
29.48,1.362,15.906,-0.018,-0.13,-0.003,-0.307,,,,,,,
29.5,2.025,15.826,-0.004,-0.131,-0.003,-0.309,,,,,,,
29.52,1.982,15.308,0,-0.105,-0.003,-0.311,,,,,,,
29.54,1.855,15.014,0.001,-0.09,-0.003,-0.312,,,,,,,
29.56,2.04,15.452,0,-0.113,-0.003,-0.316,,,,,,,
29.58,3.739,16.1,0.026,-0.153,-0.002,-0.319,,,,,,,
29.6,4.325,15.873,0.041,-0.146,-0.002,-0.321,,,,,,,
29.62,2.917,15.275,0.018,-0.109,-0.002,-0.323,,,,,,,
29.64,2.323,15.508,0.004,-0.117,-0.002,-0.326,,,,,,,
29.66,2.188,15.645,0,-0.127,-0.002,-0.328,,,,,,,
29.68,2.212,15.762,-0.001,-0.131,-0.002,-0.332,,,,,,,
29.7,1.973,15.183,0,-0.105,-0.002,-0.332,,,,,,,
29.72,1.863,14.978,0,-0.091,-0.002,-0.335,,,,,,,
29.74,2.309,15.872,0,-0.139,-0.002,-0.339,,,,,,,
29.76,2.314,15.862,0,-0.141,-0.002,-0.34,,,,,,,
29.78,2.265,15.806,0,-0.135,-0.002,-0.344,,,,,,,
29.8,2.221,15.703,0,-0.132,-0.002,-0.346,,,,,,,
29.82,1.962,15.184,0,-0.104,-0.002,-0.347,,,,,,,
29.84,1.822,14.894,0,-0.09,-0.002,-0.349,,,,,,,
29.86,1.776,14.786,0,-0.086,-0.002,-0.351,,,,,,,
29.88,2.017,15.291,0,-0.113,-0.002,-0.354,,,,,,,
29.9,2.137,15.505,0,-0.128,-0.002,-0.356,,,,,,,
29.92,1.925,15.075,0,-0.105,-0.002,-0.358,,,,,,,
29.94,1.786,14.787,0,-0.091,-0.002,-0.36,,,,,,,
29.96,1.734,14.667,0,-0.087,-0.002,-0.361,,,,,,,
29.98,1.718,14.617,0,-0.086,-0.002,-0.363,,,,,,,
30,1.963,15.128,0,-0.113,-0.002,-0.367,,,,,,,
30.02,2.08,15.336,0,-0.128,-0.002,-0.368,,,,,,,
30.04,1.612,14.355,0,-0.079,-0.002,-0.368,,,,,,,
30.06,1.599,14.368,0,-0.077,-0.002,-0.372,,,,,,,
30.08,1.877,14.89,0,-0.109,-0.002,-0.374,,,,,,,
30.1,1.787,14.698,0,-0.101,-0.002,-0.375,,,,,,,
30.12,1.946,15.047,0,-0.118,-0.002,-0.379,,,,,,,
30.14,1.774,14.643,0,-0.102,-0.002,-0.379,,,,,,,
30.16,1.682,14.505,0,-0.091,-0.002,-0.382,,,,,,,
30.18,1.621,14.317,0,-0.087,-0.002,-0.382,,,,,,,
30.2,1.624,14.366,0,-0.087,-0.002,-0.386,,,,,,,
30.22,1.854,14.799,0,-0.113,-0.002,-0.388,,,,,,,
30.24,1.736,14.56,0,-0.101,-0.002,-0.389,,,,,,,
30.26,1.634,14.352,0,-0.091,-0.002,-0.391,,,,,,,
30.28,1.591,14.257,0,-0.087,-0.002,-0.393,,,,,,,
30.3,1.576,14.219,0,-0.087,-0.002,-0.395,,,,,,,
30.32,1.823,14.745,0,-0.113,-0.002,-0.398,,,,,,,
30.34,1.69,14.422,0,-0.101,-0.002,-0.398,,,,,,,
30.36,1.352,13.761,0,-0.065,-0.002,-0.4,,,,,,,
30.38,1.674,14.432,0,-0.1,-0.002,-0.403,,,,,,,
30.4,2.135,15.376,0,-0.15,-0.002,-0.407,,,,,,,
30.42,1.835,14.734,0,-0.119,-0.002,-0.407,,,,,,,
30.44,1.632,14.392,0,-0.095,-0.002,-0.41,,,,,,,
30.46,1.787,14.689,0,-0.114,-0.002,-0.412,,,,,,,
30.48,1.661,14.442,0,-0.1,-0.002,-0.414,,,,,,,
30.5,1.567,14.258,0,-0.09,-0.002,-0.415,,,,,,,
30.52,1.531,14.186,0,-0.087,-0.002,-0.417,,,,,,,
30.54,1.776,14.715,0,-0.113,-0.002,-0.421,,,,,,,
30.56,1.646,14.408,0,-0.101,-0.002,-0.421,,,,,,,
30.58,1.567,14.311,0,-0.091,-0.002,-0.424,,,,,,,
30.6,2.019,15.245,0,-0.14,-0.002,-0.428,,,,,,,
30.62,2.028,15.264,0,-0.142,-0.002,-0.429,,,,,,,
30.64,1.73,14.692,0,-0.109,-0.002,-0.431,,,,,,,
30.66,1.821,14.928,0,-0.118,-0.002,-0.435,,,,,,,
30.68,1.647,14.539,0,-0.1,-0.002,-0.435,,,,,,,
30.7,1.567,14.446,0,-0.09,-0.002,-0.438,,,,,,,
30.72,1.772,14.85,0,-0.113,-0.002,-0.44,,,,,,,
30.74,1.912,15.184,0,-0.127,-0.002,-0.443,,,,,,,
30.76,1.693,14.712,0,-0.105,-0.002,-0.443,,,,,,,
30.78,1.583,14.563,0,-0.091,-0.002,-0.447,,,,,,,
30.8,1.779,14.953,0,-0.113,-0.002,-0.449,,,,,,,
30.82,1.665,14.742,0,-0.101,-0.002,-0.45,,,,,,,
30.84,1.575,14.578,0,-0.091,-0.002,-0.452,,,,,,,
30.86,1.542,14.525,0,-0.087,-0.002,-0.454,,,,,,,
30.88,1.536,14.527,0,-0.087,-0.002,-0.456,,,,,,,
30.9,1.538,14.542,0,-0.087,-0.002,-0.457,,,,,,,
30.92,1.539,14.558,0,-0.087,-0.002,-0.459,,,,,,,
30.94,1.539,14.573,0,-0.087,-0.002,-0.461,,,,,,,
30.96,1.539,14.587,0,-0.087,-0.002,-0.463,,,,,,,
30.98,1.54,14.603,0,-0.087,-0.002,-0.464,,,,,,,
31,1.54,14.619,0,-0.087,-0.002,-0.466,,,,,,,
31.02,1.286,14.088,0,-0.061,-0.002,-0.466,,,,,,,
31.04,1.159,13.859,0,-0.047,-0.002,-0.468,,,,,,,
31.06,1.108,13.721,0,-0.043,-0.002,-0.468,,,,,,,
31.08,1.363,14.287,0,-0.069,-0.002,-0.471,,,,,,,
31.1,1.479,14.475,0,-0.084,-0.002,-0.471,,,,,,,
31.12,1.281,14.109,0,-0.062,-0.002,-0.473,,,,,,,
31.14,1.139,13.796,0,-0.048,-0.002,-0.473,,,,,,,
31.16,1.101,13.742,0,-0.043,-0.002,-0.475,,,,,,,
31.18,1.082,13.669,0,-0.043,-0.002,-0.475,,,,,,,
31.2,0.833,13.151,0,-0.017,-0.002,-0.475,,,,,,,
31.22,0.947,13.392,0,-0.029,-0.002,-0.477,,,,,,,
31.24,1.026,13.507,0,-0.04,-0.002,-0.477,,,,,,,
31.26,0.808,13.049,0,-0.017,-0.002,-0.477,,,,,,,
31.28,0.924,13.295,0,-0.03,-0.002,-0.478,,,,,,,
31.3,1,13.406,0,-0.04,-0.002,-0.478,,,,,,,
31.32,0.78,12.945,0,-0.017,-0.002,-0.478,,,,,,,
31.34,0.896,13.191,0,-0.03,-0.002,-0.48,,,,,,,
31.36,0.972,13.303,0,-0.04,-0.002,-0.48,,,,,,,
31.38,0.752,12.844,0,-0.017,-0.002,-0.48,,,,,,,
31.4,0.615,12.542,0,-0.004,-0.002,-0.48,,,,,,,
31.42,0.563,12.407,0,0.001,-0.002,-0.48,,,,,,,
31.44,0.546,12.339,0,0.001,-0.002,-0.48,,,,,,,
31.46,0.789,12.832,0,-0.026,-0.002,-0.482,,,,,,,
31.48,0.905,13.022,0,-0.041,-0.002,-0.482,,,,,,,
31.5,0.688,12.569,0,-0.018,-0.002,-0.482,,,,,,,
31.52,0.547,12.261,0,-0.004,-0.002,-0.482,,,,,,,
31.54,0.493,12.122,0,0,-0.002,-0.482,,,,,,,
31.56,0.729,12.602,0,-0.026,-0.002,-0.484,,,,,,,
31.58,0.846,12.796,0,-0.04,-0.002,-0.484,,,,,,,
31.6,0.632,12.348,0,-0.018,-0.002,-0.484,,,,,,,
31.62,0.746,12.591,0,-0.03,-0.002,-0.485,,,,,,,
31.64,0.82,12.701,0,-0.04,-0.002,-0.485,,,,,,,
31.66,0.6,12.243,0,-0.017,-0.002,-0.485,,,,,,,
31.68,0.718,12.493,0,-0.03,-0.002,-0.487,,,,,,,
31.7,0.794,12.61,0,-0.04,-0.002,-0.487,,,,,,,
31.72,0.576,12.155,0,-0.017,-0.002,-0.487,,,,,,,
31.74,0.693,12.406,0,-0.03,-0.002,-0.489,,,,,,,
31.76,0.77,12.523,0,-0.04,-0.002,-0.489,,,,,,,
31.78,0.806,12.618,0,-0.044,-0.002,-0.49,,,,,,,
31.8,0.797,12.57,0,-0.044,-0.002,-0.49,,,,,,,
31.82,0.799,12.598,0,-0.044,-0.002,-0.492,,,,,,,
31.84,1.038,13.087,0,-0.07,-0.002,-0.494,,,,,,,
31.86,0.915,12.819,0,-0.058,-0.002,-0.494,,,,,,,
31.88,0.827,12.674,0,-0.047,-0.002,-0.496,,,,,,,
31.9,1.034,13.103,0,-0.07,-0.002,-0.497,,,,,,,
31.92,0.907,12.828,0,-0.057,-0.002,-0.497,,,,,,,
31.94,0.821,12.69,0,-0.047,-0.002,-0.499,,,,,,,
31.96,0.776,12.575,0,-0.044,-0.002,-0.499,,,,,,,
31.98,0.777,12.605,0,-0.043,-0.002,-0.501,,,,,,,
32,1.022,13.107,0,-0.07,-0.002,-0.503,,,,,,,
32.02,1.157,13.398,0,-0.084,-0.002,-0.504,,,,,,,
32.04,1.198,13.508,0,-0.088,-0.002,-0.506,,,,,,,
32.06,1.204,13.552,0,-0.088,-0.002,-0.508,,,,,,,
32.08,0.951,13.037,0,-0.061,-0.002,-0.508,,,,,,,
32.1,1.082,13.377,0,-0.073,-0.002,-0.511,,,,,,,
32.12,1.163,13.512,0,-0.083,-0.002,-0.511,,,,,,,
32.14,0.967,13.165,0,-0.061,-0.002,-0.513,,,,,,,
32.16,1.089,13.434,0,-0.074,-0.002,-0.515,,,,,,,
32.18,1.187,13.657,0,-0.084,-0.002,-0.517,,,,,,,
32.2,0.973,13.22,0,-0.061,-0.002,-0.517,,,,,,,
32.22,0.857,13.031,0,-0.047,-0.002,-0.518,,,,,,,
32.24,1.065,13.468,0,-0.069,-0.002,-0.52,,,,,,,
32.26,1.198,13.762,0,-0.083,-0.002,-0.522,,,,,,,
32.28,0.991,13.34,0,-0.061,-0.002,-0.522,,,,,,,
32.3,0.874,13.151,0,-0.047,-0.002,-0.524,,,,,,,
32.32,1.081,13.589,0,-0.07,-0.002,-0.525,,,,,,,
32.34,0.96,13.336,0,-0.057,-0.002,-0.525,,,,,,,
32.36,0.879,13.218,0,-0.047,-0.002,-0.527,,,,,,,
32.38,0.839,13.122,0,-0.044,-0.002,-0.527,,,,,,,
32.4,0.844,13.169,0,-0.043,-0.002,-0.529,,,,,,,
32.42,0.838,13.14,0,-0.043,-0.002,-0.529,,,,,,,
32.44,0.594,12.651,0,-0.017,-0.002,-0.529,,,,,,,
32.46,0.713,12.921,0,-0.029,-0.002,-0.531,,,,,,,
32.48,0.798,13.069,0,-0.04,-0.002,-0.531,,,,,,,
32.5,0.587,12.644,0,-0.017,-0.002,-0.531,,,,,,,
32.52,0.712,12.924,0,-0.03,-0.002,-0.532,,,,,,,
32.54,0.794,13.068,0,-0.04,-0.002,-0.532,,,,,,,
32.56,0.582,12.641,0,-0.017,-0.002,-0.532,,,,,,,
32.58,0.451,12.371,0,-0.004,-0.002,-0.532,,,,,,,
32.6,0.406,12.269,0,0.001,-0.002,-0.532,,,,,,,
32.62,0.651,12.782,0,-0.026,-0.002,-0.534,,,,,,,
32.64,0.775,13.007,0,-0.04,-0.002,-0.534,,,,,,,
32.66,0.567,12.59,0,-0.018,-0.002,-0.534,,,,,,,
32.68,0.433,12.315,0,-0.004,-0.002,-0.534,,,,,,,
32.7,0.387,12.209,0,0,-0.002,-0.534,,,,,,,
32.72,0.376,12.173,0,0.001,-0.002,-0.534,,,,,,,
32.74,0.372,12.151,0,0,-0.002,-0.534,,,,,,,
32.76,0.367,12.126,0,0,-0.002,-0.534,,,,,,,
32.78,0.36,12.097,0,0,-0.002,-0.534,,,,,,,
32.8,0.353,12.067,0,0,-0.002,-0.534,,,,,,,
32.82,0.345,12.037,0,0,-0.002,-0.534,,,,,,,
32.84,0.338,12.007,0,0,-0.002,-0.534,,,,,,,
32.86,0.33,11.977,0,0,-0.002,-0.534,,,,,,,
32.88,0.323,11.947,0,0,-0.002,-0.534,,,,,,,
32.9,0.315,11.917,0,0,-0.002,-0.534,,,,,,,
32.92,0.307,11.887,0,0,-0.002,-0.534,,,,,,,
32.94,0.3,11.857,0,0,-0.002,-0.534,,,,,,,
32.96,0.292,11.827,0,0,-0.002,-0.534,,,,,,,
32.98,0.285,11.797,0,0,-0.002,-0.534,,,,,,,
33,0.277,11.767,0,0,-0.002,-0.534,,,,,,,
33.02,0.27,11.737,0,0,-0.002,-0.534,,,,,,,
33.04,0.262,11.707,0,0,-0.002,-0.534,,,,,,,
33.06,0.254,11.677,0,0,-0.002,-0.534,,,,,,,
33.08,0.247,11.647,0,0,-0.002,-0.534,,,,,,,
33.1,0.494,12.166,0,-0.026,-0.002,-0.536,,,,,,,
33.12,0.614,12.384,0,-0.041,-0.002,-0.536,,,,,,,
33.14,0.404,11.963,0,-0.018,-0.002,-0.536,,,,,,,
33.16,0.27,11.688,0,-0.004,-0.002,-0.536,,,,,,,
33.18,0.223,11.583,0,0,-0.002,-0.536,,,,,,,
33.2,0.467,12.097,0,-0.026,-0.002,-0.538,,,,,,,
33.22,0.592,12.324,0,-0.04,-0.002,-0.538,,,,,,,
33.24,0.385,11.909,0,-0.018,-0.002,-0.538,,,,,,,
33.26,0.506,12.186,0,-0.03,-0.002,-0.539,,,,,,,
33.28,0.587,12.33,0,-0.04,-0.002,-0.539,,,,,,,
33.3,0.375,11.905,0,-0.017,-0.002,-0.539,,,,,,,
33.32,0.245,11.64,0,-0.004,-0.002,-0.539,,,,,,,
33.34,0.456,12.091,0,-0.026,-0.002,-0.541,,,,,,,
33.36,0.574,12.307,0,-0.04,-0.002,-0.541,,,,,,,
33.38,0.624,12.446,0,-0.044,-0.002,-0.543,,,,,,,
33.4,0.62,12.428,0,-0.044,-0.002,-0.543,,,,,,,
33.42,0.373,11.936,0,-0.018,-0.002,-0.543,,,,,,,
33.44,0.491,12.209,0,-0.03,-0.002,-0.545,,,,,,,
33.46,0.577,12.363,0,-0.04,-0.002,-0.545,,,,,,,
33.48,0.368,11.947,0,-0.017,-0.002,-0.545,,,,,,,
33.5,0.494,12.235,0,-0.03,-0.002,-0.546,,,,,,,
33.52,0.579,12.389,0,-0.04,-0.002,-0.546,,,,,,,
33.54,0.622,12.519,0,-0.044,-0.002,-0.548,,,,,,,
33.56,0.621,12.506,0,-0.044,-0.002,-0.548,,,,,,,
33.58,0.376,12.021,0,-0.018,-0.002,-0.548,,,,,,,
33.6,0.241,11.749,0,-0.003,-0.002,-0.548,,,,,,,
33.62,0.455,12.208,0,-0.026,-0.002,-0.55,,,,,,,
33.64,0.576,12.434,0,-0.04,-0.002,-0.55,,,,,,,
33.66,0.373,12.031,0,-0.018,-0.002,-0.55,,,,,,,
33.68,0.498,12.318,0,-0.03,-0.002,-0.552,,,,,,,
33.7,0.581,12.471,0,-0.04,-0.002,-0.552,,,,,,,
33.72,0.371,12.054,0,-0.017,-0.002,-0.552,,,,,,,
33.74,0.242,11.797,0,-0.004,-0.002,-0.552,,,,,,,
33.76,0.455,12.255,0,-0.026,-0.002,-0.553,,,,,,,
33.78,0.575,12.479,0,-0.04,-0.002,-0.553,,,,,,,
33.8,0.372,12.077,0,-0.018,-0.002,-0.553,,,,,,,
33.82,0.242,11.818,0,-0.004,-0.002,-0.553,,,,,,,
33.84,0.199,11.725,0,0,-0.002,-0.553,,,,,,,
33.86,0.445,12.25,0,-0.026,-0.002,-0.555,,,,,,,
33.88,0.572,12.487,0,-0.04,-0.002,-0.555,,,,,,,
33.9,0.367,12.083,0,-0.018,-0.002,-0.555,,,,,,,
33.92,0.236,11.822,0,-0.004,-0.002,-0.555,,,,,,,
33.94,0.447,12.277,0,-0.026,-0.002,-0.557,,,,,,,
33.96,0.566,12.502,0,-0.04,-0.002,-0.557,,,,,,,
33.98,0.364,12.102,0,-0.018,-0.002,-0.557,,,,,,,
34,0.235,11.845,0,-0.004,-0.002,-0.557,,,,,,,
34.02,0.191,11.754,0,0,-0.002,-0.557,,,,,,,
34.04,0.438,12.281,0,-0.026,-0.002,-0.559,,,,,,,
34.06,0.566,12.521,0,-0.04,-0.002,-0.559,,,,,,,
34.08,0.361,12.119,0,-0.018,-0.002,-0.559,,,,,,,
34.1,0.231,11.86,0,-0.004,-0.002,-0.559,,,,,,,
34.12,0.187,11.768,0,0,-0.002,-0.559,,,,,,,
34.14,0.18,11.747,0,0.001,-0.002,-0.559,,,,,,,
34.16,0.18,11.74,0,0,-0.002,-0.559,,,,,,,
34.18,0.178,11.73,0,0,-0.002,-0.559,,,,,,,
34.2,0.429,12.266,0,-0.026,-0.002,-0.56,,,,,,,
34.22,0.552,12.499,0,-0.041,-0.002,-0.56,,,,,,,
34.24,0.346,12.093,0,-0.018,-0.002,-0.56,,,,,,,
34.26,0.215,11.833,0,-0.004,-0.002,-0.56,,,,,,,
34.28,0.171,11.743,0,0,-0.002,-0.56,,,,,,,
34.3,0.164,11.723,0,0.001,-0.002,-0.56,,,,,,,
34.32,0.164,11.717,0,0,-0.002,-0.56,,,,,,,
34.34,0.163,11.708,0,0,-0.002,-0.56,,,,,,,
34.36,0.16,11.696,0,0,-0.002,-0.56,,,,,,,
34.38,0.156,11.683,0,0,-0.002,-0.56,,,,,,,
34.4,0.406,12.217,0,-0.026,-0.002,-0.562,,,,,,,
34.42,0.53,12.451,0,-0.041,-0.002,-0.562,,,,,,,
34.44,0.323,12.047,0,-0.018,-0.002,-0.562,,,,,,,
34.46,0.193,11.788,0,-0.004,-0.002,-0.562,,,,,,,
34.48,0.149,11.699,0,0,-0.002,-0.562,,,,,,,
34.5,0.143,11.68,0,0.001,-0.002,-0.562,,,,,,,
34.52,0.143,11.675,0,0,-0.002,-0.562,,,,,,,
34.54,0.142,11.668,0,0,-0.002,-0.562,,,,,,,
34.56,0.139,11.656,0,0,-0.002,-0.562,,,,,,,
34.58,0.135,11.644,0,0,-0.002,-0.562,,,,,,,
34.6,0.131,11.631,0,0,-0.002,-0.562,,,,,,,
34.62,0.127,11.618,0,0,-0.002,-0.562,,,,,,,
34.64,0.378,12.154,0,-0.026,-0.002,-0.564,,,,,,,
34.66,0.502,12.389,0,-0.041,-0.002,-0.564,,,,,,,
34.68,0.296,11.986,0,-0.018,-0.002,-0.564,,,,,,,
34.7,0.165,11.728,0,-0.004,-0.002,-0.564,,,,,,,
34.72,0.122,11.64,0,0,-0.002,-0.564,,,,,,,
34.74,0.116,11.623,0,0.001,-0.002,-0.564,,,,,,,
34.76,0.116,11.619,0,0,-0.002,-0.564,,,,,,,
34.78,0.115,11.612,0,0,-0.002,-0.564,,,,,,,
34.8,0.112,11.602,0,0,-0.002,-0.564,,,,,,,
34.82,0.109,11.591,0,0,-0.002,-0.564,,,,,,,
34.84,0.36,12.127,0,-0.026,-0.002,-0.566,,,,,,,
34.86,0.484,12.364,0,-0.041,-0.002,-0.566,,,,,,,
34.88,0.278,11.961,0,-0.018,-0.002,-0.566,,,,,,,
34.9,0.148,11.705,0,-0.004,-0.002,-0.566,,,,,,,
34.92,0.105,11.618,0,0,-0.002,-0.566,,,,,,,
34.94,0.099,11.601,0,0.001,-0.002,-0.566,,,,,,,
34.96,0.354,12.147,0,-0.026,-0.002,-0.567,,,,,,,
34.98,0.481,12.39,0,-0.041,-0.002,-0.567,,,,,,,
35,0.276,11.99,0,-0.018,-0.002,-0.567,,,,,,,
35.02,0.146,11.734,0,-0.004,-0.002,-0.567,,,,,,,
35.04,0.104,11.648,0,0,-0.002,-0.567,,,,,,,
35.06,0.352,12.182,0,-0.026,-0.002,-0.569,,,,,,,
35.08,0.48,12.428,0,-0.04,-0.002,-0.569,,,,,,,
35.1,0.278,12.033,0,-0.018,-0.002,-0.569,,,,,,,
35.12,0.149,11.78,0,-0.004,-0.002,-0.569,,,,,,,
35.14,0.361,12.244,0,-0.026,-0.002,-0.571,,,,,,,
35.16,0.483,12.477,0,-0.04,-0.002,-0.571,,,,,,,
35.18,0.282,12.086,0,-0.018,-0.002,-0.571,,,,,,,
35.2,0.155,11.837,0,-0.004,-0.002,-0.571,,,,,,,
35.22,0.113,11.755,0,0,-0.002,-0.571,,,,,,,
35.24,0.108,11.742,0,0.001,-0.002,-0.571,,,,,,,
35.26,0.109,11.742,0,0,-0.002,-0.571,,,,,,,
35.28,0.109,11.74,0,0,-0.002,-0.571,,,,,,,
35.3,0.362,12.283,0,-0.026,-0.002,-0.573,,,,,,,
35.32,0.487,12.524,0,-0.041,-0.002,-0.573,,,,,,,
35.34,0.282,12.125,0,-0.018,-0.002,-0.573,,,,,,,
35.36,0.152,11.873,0,-0.004,-0.002,-0.573,,,,,,,
35.38,0.111,11.791,0,0,-0.002,-0.573,,,,,,,
35.4,0.105,11.778,0,0.001,-0.002,-0.573,,,,,,,
35.42,0.107,11.78,0,0,-0.002,-0.573,,,,,,,
35.44,0.107,11.779,0,0,-0.002,-0.573,,,,,,,
35.46,0.106,11.774,0,0,-0.002,-0.573,,,,,,,
35.48,0.103,11.768,0,0,-0.002,-0.573,,,,,,,
35.5,0.101,11.761,0,0,-0.002,-0.573,,,,,,,
35.52,0.098,11.755,0,0,-0.002,-0.573,,,,,,,
35.54,0.096,11.749,0,0,-0.002,-0.573,,,,,,,
35.56,0.094,11.742,0,0,-0.002,-0.573,,,,,,,
35.58,0.091,11.736,0,0,-0.002,-0.573,,,,,,,
35.6,0.089,11.73,0,0,-0.002,-0.573,,,,,,,
35.62,0.086,11.724,0,0,-0.002,-0.573,,,,,,,
35.64,0.084,11.717,0,0,-0.002,-0.573,,,,,,,
35.66,0.082,11.711,0,0,-0.002,-0.573,,,,,,,
35.68,0.079,11.705,0,0,-0.002,-0.573,,,,,,,
35.7,0.077,11.699,0,0,-0.002,-0.573,,,,,,,
35.72,0.075,11.692,0,0,-0.002,-0.573,,,,,,,
35.74,0.072,11.686,0,0,-0.002,-0.573,,,,,,,
35.76,0.07,11.68,0,0,-0.002,-0.573,,,,,,,
35.78,0.067,11.674,0,0,-0.002,-0.573,,,,,,,
35.8,0.065,11.667,0,0,-0.002,-0.573,,,,,,,
35.82,0.063,11.661,0,0,-0.002,-0.573,,,,,,,
35.84,0.06,11.655,0,0,-0.002,-0.573,,,,,,,
35.86,0.058,11.649,0,0,-0.002,-0.573,,,,,,,
35.88,0.055,11.642,0,0,-0.002,-0.573,,,,,,,
35.9,0.053,11.636,0,0,-0.002,-0.573,,,,,,,
35.92,0.051,11.63,0,0,-0.002,-0.573,,,,,,,
35.94,0.048,11.624,0,0,-0.002,-0.573,,,,,,,
35.96,0.046,11.617,0,0,-0.002,-0.573,,,,,,,
35.98,0.044,11.611,0,0,-0.002,-0.573,,,,,,,
36,0.041,11.605,0,0,-0.002,-0.573,,,,,,,
36.02,0.039,11.599,0,0,-0.002,-0.573,,,,,,,
36.04,0.036,11.592,0,0,-0.002,-0.573,,,,,,,
36.06,0.288,12.135,0,-0.026,-0.002,-0.574,,,,,,,
36.08,0.414,12.376,0,-0.041,-0.002,-0.574,,,,,,,
36.1,0.209,11.979,0,-0.018,-0.002,-0.574,,,,,,,
36.12,0.08,11.728,0,-0.004,-0.002,-0.574,,,,,,,
36.14,0.039,11.647,0,0,-0.002,-0.574,,,,,,,
36.16,0.033,11.636,0,0.001,-0.002,-0.574,,,,,,,
