Tiempo ,Entrada,ANGULO,POSICION
-0.4,0.0,0.0,0.0
-0.38,0.0,0.0,0.0
-0.36,0.0,0.0,0.0
-0.34,0.0,0.0,0.0
-0.32,0.0,0.0,0.0
-0.3,0.0,0.0,0.0
-0.28,0.0,0.0,0.0
-0.26,0.0,0.0,0.0
-0.24,0.0,0.0,0.0
-0.22,0.0,0.0,0.0
-0.2,0.0,0.0,0.0
-0.18,0.0,0.0,0.0
-0.16,0.0,0.0,0.0
-0.14,0.0,0.0,0.0
-0.12,0.0,0.0,0.0
-0.1,0.0,0.0,0.0
-0.08,0.0,0.0,0.0
-0.06,0.0,0.0,0.0
-0.04,0.0,0.0,0.0
-0.02,0.0,0.0,0.0
0.0,0.0,-0.0,-0.0
0.02,0.0,-0.0,-0.0
0.04,0.3,-0.0,-0.0
0.06,0.6,-0.0,-0.0
0.08,0.9,-0.0,0.0
0.1,1.2,-0.0,0.0
0.12,1.5,-0.0,0.0
0.14,1.8,-0.0,0.0
0.16,2.1,-0.002,0.0
0.18,2.4,-0.003,0.0
0.2,2.7,-0.009,0.001
0.22,3.0,-0.016,0.001
0.24,3.3,-0.023,0.001
0.26,3.6,-0.031,0.002
0.28,3.9,-0.045,0.003
0.3,4.2,-0.058,0.004
0.32,4.5,-0.072,0.005
0.34,4.8,-0.086,0.006
0.36,5.1,-0.103,0.007
0.38,5.4,-0.119,0.009
0.4,5.7,-0.136,0.011
0.42,6.0,-0.155,0.012
0.44,6.3,-0.175,0.014
0.46,6.6,-0.197,0.017
0.48,6.9,-0.216,0.019
0.5,7.2,-0.237,0.021
0.52,7.5,-0.257,0.024
0.54,7.5,-0.276,0.027
0.56,7.5,-0.295,0.03
0.58,7.5,-0.307,0.033
0.6,7.5,-0.319,0.036
0.62,7.5,-0.325,0.04
0.64,7.5,-0.326,0.043
0.66,7.5,-0.33,0.046
0.68,7.5,-0.328,0.05
0.7,7.5,-0.319,0.053
0.72,7.5,-0.309,0.057
0.74,7.5,-0.29,0.06
0.76,7.5,-0.269,0.064
0.78,7.5,-0.246,0.067
0.8,7.5,-0.218,0.071
0.82,7.5,-0.19,0.074
0.84,7.5,-0.157,0.078
0.86,7.5,-0.126,0.081
0.88,7.5,-0.091,0.085
0.9,7.5,-0.056,0.089
0.92,7.5,-0.019,0.092
0.94,7.5,0.016,0.096
0.96,7.5,0.051,0.1
0.98,7.5,0.086,0.104
1.0,7.5,0.117,0.107
1.02,7.5,0.152,0.111
1.04,7.5,0.18,0.115
1.06,7.5,0.208,0.118
1.08,7.5,0.23,0.122
1.1,7.5,0.25,0.126
1.12,7.5,0.272,0.13
1.14,7.5,0.283,0.133
1.16,7.5,0.293,0.137
1.18,7.5,0.302,0.141
1.2,7.5,0.302,0.144
1.22,7.5,0.302,0.148
