Tiempo ,Entrada,ANGULO,POSICION
3.4,0.0,0.349,0.263
3.42,0.0,0.297,0.263
3.44,0.0,0.239,0.263
3.46,0.0,0.18,0.263
3.48,0.0,0.119,0.263
3.5,0.0,0.054,0.263
3.52,0.0,-0.01,0.263
3.54,0.0,-0.075,0.263
3.56,0.0,-0.14,0.263
3.58,0.0,-0.201,0.263
3.6,0.0,-0.26,0.263
3.62,0.0,-0.316,0.263
3.64,0.0,-0.365,0.263
3.66,0.0,-0.41,0.263
3.68,0.0,-0.45,0.263
3.7,0.0,-0.485,0.263
3.72,0.0,-0.511,0.263
3.74,0.0,-0.529,0.263
3.76,0.0,-0.543,0.263
3.78,0.0,-0.546,0.263
3.8,0.0,-0.545,0.263
3.82,0.0,-0.532,0.263
3.84,0.0,-0.515,0.263
3.86,0.0,-0.489,0.263
3.88,0.0,-0.456,0.263
3.9,0.0,-0.415,0.263
3.92,0.0,-0.372,0.263
3.94,0.0,-0.321,0.263
3.96,0.0,-0.267,0.263
3.98,0.0,-0.209,0.263
4.0,0.0,-0.147,0.263
4.02,0.0,-0.084,0.263
4.04,0.0,-0.019,0.263
4.06,0.0,0.045,0.263
4.08,0.0,0.11,0.263
4.1,0.0,0.173,0.263
4.12,0.0,0.232,0.263
4.14,0.0,0.29,0.263
4.16,0.0,0.342,0.263
4.18,0.0,0.389,0.263
4.2,0.0,0.431,0.263
4.22,0.0,0.468,0.263
4.24,0.0,0.497,0.263
4.26,0.0,0.518,0.263
4.28,0.0,0.534,0.263
4.3,0.0,0.541,0.263
4.32,0.0,0.543,0.263
4.34,0.0,0.536,0.263
4.36,0.0,0.518,0.263
4.38,0.0,0.497,0.263
4.4,0.0,0.466,0.263
4.42,0.0,0.431,0.263
4.44,0.0,0.389,0.263
4.46,0.0,0.34,0.263
4.48,0.0,0.288,0.263
4.5,0.0,0.232,0.263
4.52,0.0,0.171,0.263
4.54,0.0,0.11,0.263
4.56,0.0,0.044,0.263
4.58,0.0,-0.019,0.263
4.6,0.0,-0.084,0.263
4.62,0.0,-0.147,0.263
4.64,0.0,-0.209,0.263
4.66,0.0,-0.267,0.263
4.68,0.0,-0.321,0.263
4.7,0.0,-0.37,0.263
4.72,0.0,-0.414,0.263
4.74,0.0,-0.454,0.263
4.76,0.0,-0.485,0.263
4.78,0.0,-0.511,0.263
4.8,0.0,-0.529,0.263
4.82,0.0,-0.539,0.263
4.84,0.0,-0.543,0.263
4.86,0.0,-0.539,0.263
4.88,0.0,-0.527,0.263
4.9,0.0,-0.508,0.263
4.92,0.0,-0.482,0.263
4.94,0.0,-0.449,0.263
4.96,0.0,-0.408,0.263
4.98,0.0,-0.363,0.263
5.0,0.0,-0.312,0.263
5.02,0.0,-0.258,0.263
5.04,0.0,-0.199,0.263
5.06,0.0,-0.138,0.263
5.08,0.0,-0.075,0.263
5.1,0.0,-0.01,0.263
5.12,0.0,0.054,0.263
5.14,0.0,0.119,0.263
5.16,0.0,0.18,0.263
5.18,0.0,0.239,0.263
5.2,0.0,0.295,0.263
5.22,0.0,0.346,0.263
5.24,0.0,0.393,0.263
5.26,0.0,0.435,0.263
5.28,0.0,0.469,0.263
