Tiempo ,ANGULO,ESTIMULO
4.54,0.218,1.7
4.56,0.229,1.7
4.58,0.241,1.7
4.6,0.255,1.7
4.62,0.272,1.7
4.64,0.29,1.7
4.66,0.312,1.7
4.68,0.335,1.7
4.7,0.36,1.7
4.72,0.386,1.7
4.74,0.414,1.7
4.76,0.442,1.7
4.78,0.471,1.7
4.8,0.501,1.7
4.82,0.532,1.7
4.84,0.562,1.7
4.86,0.593,1.7
4.88,0.625,1.7
4.9,0.654,1.7
4.92,0.684,1.7
4.94,0.714,1.7
4.96,0.742,1.7
4.98,0.77,1.7
5,0.796,1.7
5.02,0.82,1.7
5.04,0.845,1.7
5.06,0.866,1.7
5.08,0.887,1.7
5.1,0.906,1.7
5.12,0.922,1.7
5.14,0.937,1.7
5.16,0.949,1.7
5.18,0.96,1.7
5.2,0.969,1.7
5.22,0.976,1.7
5.24,0.981,1.7
5.26,0.983,1.7
5.28,0.984,1.7
5.3,0.983,1.7
5.32,0.979,1.7
5.34,0.974,1.7
5.36,0.967,1.7
5.38,0.956,1.7
5.4,0.946,1.7
5.42,0.932,1.7
5.44,0.918,1.7
5.46,0.901,1.7
5.48,0.883,1.7
5.5,0.864,1.7
5.52,0.841,1.7
5.54,0.82,1.7
5.56,0.796,1.7
5.58,0.771,1.7
5.6,0.745,1.7
5.62,0.719,1.7
5.64,0.693,1.7
5.66,0.665,1.7
5.68,0.637,1.7
5.7,0.609,1.7
5.72,0.581,1.7
5.74,0.553,1.7
5.76,0.527,1.7
5.78,0.501,1.7
5.8,0.475,1.7
5.82,0.449,1.7
5.84,0.426,1.7
5.86,0.403,1.7
5.88,0.38,1.7
5.9,0.361,1.7
5.92,0.344,1.7
5.94,0.328,1.7
5.96,0.312,1.7
5.98,0.3,1.7
6,0.29,1.7
6.02,0.283,1.7
6.04,0.276,1.7
6.06,0.272,1.7
6.08,0.271,1.7
6.1,0.272,1.7
6.12,0.274,1.7
6.14,0.279,1.7
6.16,0.288,1.7
6.18,0.297,1.7
6.2,0.309,1.7
6.22,0.321,1.7
6.24,0.337,1.7
6.26,0.354,1.7
6.28,0.372,1.7
6.3,0.393,1.7
6.32,0.414,1.7
6.34,0.436,1.7
6.36,0.459,1.7
6.38,0.483,1.7
6.4,0.508,1.7
6.42,0.532,1.7
6.44,0.559,1.7
6.46,0.583,1.7
6.48,0.609,1.7
6.5,0.634,1.7
6.52,0.66,1.7
6.54,0.682,1.7
6.56,0.707,1.7
6.58,0.73,1.7
6.6,0.752,1.7
6.62,0.773,1.7
6.64,0.792,1.7
6.66,0.812,1.7
6.68,0.829,1.7
6.7,0.845,1.7
6.72,0.859,1.7
6.74,0.871,1.7
6.76,0.883,1.7
6.78,0.892,1.7
6.8,0.901,1.7
6.82,0.906,1.7
6.84,0.911,1.7
6.86,0.915,1.7
6.88,0.915,1.7
6.9,0.915,1.7
6.92,0.911,1.7
6.94,0.908,1.7
6.96,0.902,1.7
6.98,0.894,1.7
7,0.885,1.7
7.02,0.874,1.7
7.04,0.862,1.7
7.06,0.848,1.7
7.08,0.834,1.7
7.1,0.817,1.7
7.12,0.799,1.7
7.14,0.782,1.7
7.16,0.761,1.7
7.18,0.742,1.7
7.2,0.721,1.7
7.22,0.698,1.7
7.24,0.675,1.7
7.26,0.653,1.7
7.28,0.63,1.7
7.3,0.607,1.7
7.32,0.585,1.7
7.34,0.562,1.7
7.36,0.539,1.7
7.38,0.518,1.7
7.4,0.496,1.7
7.42,0.476,1.7
7.44,0.456,1.7
7.46,0.438,1.7
7.48,0.421,1.7
7.5,0.403,1.7
7.52,0.389,1.7
7.54,0.375,1.7
7.56,0.365,1.7
7.58,0.354,1.7
7.6,0.346,1.7
7.62,0.339,1.7
7.64,0.335,1.7
7.66,0.332,1.7
7.68,0.33,1.7
7.7,0.332,1.7
7.72,0.333,1.7
7.74,0.339,1.7
7.76,0.344,1.7
7.78,0.353,1.7
7.8,0.361,1.7
7.82,0.374,1.7
7.84,0.386,1.7
7.86,0.4,1.7
7.88,0.415,1.7
7.9,0.431,1.7
7.92,0.449,1.7
7.94,0.468,1.7
7.96,0.487,1.7
7.98,0.506,1.7
8,0.527,1.7
8.02,0.546,1.7
8.04,0.567,1.7
8.06,0.588,1.7
8.08,0.609,1.7
8.1,0.63,1.7
8.12,0.651,1.7
8.14,0.67,1.7
8.16,0.689,1.7
8.18,0.709,1.7
8.2,0.728,1.7
8.22,0.744,1.7
8.24,0.761,1.7
8.26,0.775,1.7
8.28,0.789,1.7
8.3,0.803,1.7
8.32,0.813,1.7
8.34,0.824,1.7
8.36,0.833,1.7
8.38,0.841,1.7
8.4,0.846,1.7
8.42,0.852,1.7
8.44,0.855,1.7
8.46,0.857,1.7
8.48,0.857,1.7
8.5,0.857,1.7
8.52,0.853,1.7
8.54,0.85,1.7
8.56,0.845,1.7
8.58,0.838,1.7
8.6,0.831,1.7
8.62,0.82,1.7
8.64,0.81,1.7
8.66,0.799,1.7
8.68,0.785,1.7
8.7,0.771,1.7
8.72,0.757,1.7
8.74,0.742,1.7
8.76,0.726,1.7
8.78,0.709,1.7
8.8,0.691,1.7
8.82,0.672,1.7
8.84,0.654,1.7
8.86,0.635,1.7
8.88,0.616,1.7
8.9,0.597,1.7
8.92,0.578,1.7
8.94,0.56,1.7
8.96,0.541,1.7
8.98,0.524,1.7
9,0.506,1.7
9.02,0.489,1.7
9.04,0.473,1.7
9.06,0.457,1.7
9.08,0.443,1.7
9.1,0.431,1.7
9.12,0.419,1.7
9.14,0.408,1.7
9.16,0.4,1.7
9.18,0.391,1.7
9.2,0.386,1.7
9.22,0.38,1.7
9.24,0.377,1.7
9.26,0.375,1.7
9.28,0.375,1.7
9.3,0.375,1.7
9.32,0.379,1.7
9.34,0.382,1.7
9.36,0.387,1.7
9.38,0.394,1.7
9.4,0.403,1.7
9.42,0.414,1.7
9.44,0.424,1.7
9.46,0.436,1.7
9.48,0.449,1.7
9.5,0.463,1.7
9.52,0.478,1.7
9.54,0.492,1.7
9.56,0.51,1.7
9.58,0.525,1.7
9.6,0.543,1.7
9.62,0.56,1.7
9.64,0.578,1.7
9.66,0.595,1.7
9.68,0.611,1.7
9.7,0.628,1.7
9.72,0.646,1.7
9.74,0.663,1.7
9.76,0.679,1.7
9.78,0.695,1.7
9.8,0.709,1.7
9.82,0.723,1.7
9.84,0.737,1.7
9.86,0.749,1.7
9.88,0.761,1.7
9.9,0.771,1.7
9.92,0.78,1.7
9.94,0.789,1.7
9.96,0.796,1.7
9.98,0.803,1.7
10,0.806,1.7
10.02,0.81,1.7
10.04,0.813,1.7
10.06,0.813,1.7
10.08,0.813,1.7
10.1,0.813,1.7
10.12,0.81,1.7
10.14,0.806,1.7
10.16,0.801,1.7
10.18,0.796,1.7
10.2,0.787,1.7
10.22,0.78,1.7
10.24,0.77,1.7
10.26,0.761,1.7
10.28,0.749,1.7
10.3,0.737,1.7
10.32,0.724,1.7
10.34,0.712,1.7
10.36,0.698,1.7
10.38,0.682,1.7
10.4,0.668,1.7
10.42,0.653,1.7
10.44,0.637,1.7
10.46,0.621,1.7
10.48,0.606,1.7
10.5,0.59,1.7
10.52,0.574,1.7
10.54,0.559,1.7
10.56,0.545,1.7
10.58,0.529,1.7
10.6,0.515,1.7
10.62,0.503,1.7
10.64,0.489,1.7
10.66,0.476,1.7
10.68,0.466,1.7
10.7,0.456,1.7
10.72,0.445,1.7
10.74,0.438,1.7
10.76,0.429,1.7
10.78,0.424,1.7
10.8,0.419,1.7
10.82,0.415,1.7
10.84,0.412,1.7
10.86,0.412,1.7
10.88,0.41,1.7
10.9,0.412,1.7
10.92,0.414,1.7
10.94,0.417,1.7
10.96,0.422,1.7
10.98,0.428,1.7
11,0.435,1.7
11.02,0.443,1.7
11.04,0.452,1.7
11.06,0.461,1.7
11.08,0.471,1.7
11.1,0.483,1.7
11.12,0.496,1.7
11.14,0.508,1.7
11.16,0.52,1.7
11.18,0.534,1.7
11.2,0.548,1.7
11.22,0.562,1.7
11.24,0.576,1.7
11.26,0.59,1.7
11.28,0.604,1.7
11.3,0.618,1.7
11.32,0.632,1.7
11.34,0.646,1.7
11.36,0.658,1.7
11.38,0.67,1.7
11.4,0.682,1.7
11.42,0.695,1.7
11.44,0.705,1.7
11.46,0.716,1.7
11.48,0.724,1.7
11.5,0.733,1.7
11.52,0.742,1.7
11.54,0.749,1.7
11.56,0.754,1.7
11.58,0.759,1.7
11.6,0.763,1.7
11.62,0.766,1.7
11.64,0.768,1.7
11.66,0.768,1.7
11.68,0.768,1.7
11.7,0.766,1.7
11.72,0.764,1.7
11.74,0.761,1.7
11.76,0.757,1.7
11.78,0.752,1.7
11.8,0.747,1.7
11.82,0.74,1.7
11.84,0.731,1.7
11.86,0.723,1.7
11.88,0.714,1.7
11.9,0.703,1.7
11.92,0.693,1.7
11.94,0.682,1.7
