Tiempo ;CONTROL;REI;VELOCIDAD;ANGULO;REFERENCIA;PERTURBACION;;;;;;;;
1,58;1,08;1,08;0,259;0,302;0,6;0;;;;;;;;
1,6;1,083;1,083;0,263;0,307;0,6;0;;;;;;;;
1,62;1,056;1,056;0,289;0,314;0,6;0;;;;;;;;
1,64;1,047;1,047;0,303;0,319;0,6;0;;;;;;;;
1,66;1,047;1,047;0,306;0,326;0,6;0;;;;;;;;
1,68;1,053;1,053;0,306;0,332;0,6;0;;;;;;;;
1,7;1,057;1,057;0,306;0,339;0,6;0;;;;;;;;
1,72;1,029;1,029;0,332;0,346;0,6;0;;;;;;;;
1,74;1,049;1,049;0,32;0,351;0,6;0;;;;;;;;
1,76;1,065;1,065;0,309;0,358;0,6;0;;;;;;;;
1,78;1,074;1,074;0,305;0,363;0,6;0;;;;;;;;
1,8;1,111;1,111;0,279;0,368;0,6;0;;;;;;;;
1,82;1,132;1,132;0,265;0,374;0,6;0;;;;;;;;
1,84;1,141;1,141;0,261;0,379;0,6;0;;;;;;;;
1,86;1,144;1,144;0,261;0,384;0,6;0;;;;;;;;
1,88;1,147;1,147;0,261;0,389;0,6;0;;;;;;;;
1,9;1,184;1,184;0,235;0,393;0,6;0;;;;;;;;
1,92;1,204;1,204;0,221;0,398;0,6;0;;;;;;;;
1,94;1,214;1,214;0,217;0,401;0,6;0;;;;;;;;
1,96;1,251;1,251;0,191;0,405;0,6;0;;;;;;;;
1,98;1,306;1,306;0,151;0,407;0,6;0;;;;;;;;
2;1,332;1,332;0,133;0,41;0,6;0;;;;;;;;
2,02;1,31;1,31;0,156;0,414;0,6;0;;;;;;;;
2,04;1,33;1,33;0,144;0,415;0,6;0;;;;;;;;
2,06;1,346;1,346;0,134;0,419;0,6;0;;;;;;;;
2,08;1,356;1,356;0,131;0,421;0,6;0;;;;;;;;
2,1;1,395;1,395;0,104;0,422;0,6;0;;;;;;;;
2,12;1,418;1,418;0,09;0,424;0,6;0;;;;;;;;
2,14;1,394;1,394;0,113;0,428;0,6;0;;;;;;;;
2,16;1,383;1,383;0,127;0,429;0,6;0;;;;;;;;
2,18;1,416;1,416;0,105;0,431;0,6;0;;;;;;;;
2,2;1,404;1,404;0,118;0,435;0,6;0;;;;;;;;
2,22;1,398;1,398;0,127;0,436;0,6;0;;;;;;;;
2,24;1,431;1,431;0,105;0,438;0,6;0;;;;;;;;
2,26;1,418;1,418;0,117;0,442;0,6;0;;;;;;;;
2,28;1,411;1,411;0,127;0,443;0,6;0;;;;;;;;
2,3;1,41;1,41;0,131;0,447;0,6;0;;;;;;;;
2,32;1,38;1,38;0,158;0,45;0,6;0;;;;;;;;
2,34;1,4;1,4;0,145;0,452;0,6;0;;;;;;;;
2,36;1,415;1,415;0,135;0,456;0,6;0;;;;;;;;
2,38;1,391;1,391;0,157;0,459;0,6;0;;;;;;;;
2,4;1,376;1,376;0,171;0,463;0,6;0;;;;;;;;
2,42;1,373;1,373;0,175;0,466;0,6;0;;;;;;;;
2,44;1,409;1,409;0,149;0,468;0,6;0;;;;;;;;
2,46;1,429;1,429;0,134;0,471;0,6;0;;;;;;;;
2,48;1,403;1,403;0,157;0,475;0,6;0;;;;;;;;
2,5;1,388;1,388;0,171;0,478;0,6;0;;;;;;;;
2,52;1,418;1,418;0,149;0,48;0,6;0;;;;;;;;
2,54;1,436;1,436;0,135;0,483;0,6;0;;;;;;;;
2,56;1,41;1,41;0,157;0,487;0,6;0;;;;;;;;
2,58;1,428;1,428;0,144;0,489;0,6;0;;;;;;;;
2,6;1,441;1,441;0,134;0,492;0,6;0;;;;;;;;
2,62;1,448;1,448;0,131;0,494;0,6;0;;;;;;;;
2,64;1,483;1,483;0,104;0,496;0,6;0;;;;;;;;
2,66;1,469;1,469;0,116;0,499;0,6;0;;;;;;;;
2,68;1,459;1,459;0,127;0,501;0,6;0;;;;;;;;
2,7;1,488;1,488;0,104;0,503;0,6;0;;;;;;;;
2,72;1,507;1,507;0,091;0,504;0,6;0;;;;;;;;
2,74;1,514;1,514;0,087;0,506;0,6;0;;;;;;;;
2,76;1,517;1,517;0,086;0,508;0,6;0;;;;;;;;
2,78;1,518;1,518;0,087;0,51;0,6;0;;;;;;;;
2,8;1,554;1,554;0,061;0,51;0,6;0;;;;;;;;
2,82;1,573;1,573;0,047;0,511;0,6;0;;;;;;;;
2,84;1,548;1,548;0,069;0,513;0,6;0;;;;;;;;
2,86;1,567;1,567;0,057;0,513;0,6;0;;;;;;;;
2,88;1,581;1,581;0,047;0,515;0,6;0;;;;;;;;
2,9;1,555;1,555;0,07;0,517;0,6;0;;;;;;;;
2,92;1,574;1,574;0,057;0,517;0,6;0;;;;;;;;
2,94;1,588;1,588;0,047;0,518;0,6;0;;;;;;;;
2,96;1,562;1,562;0,07;0,52;0,6;0;;;;;;;;
2,98;1,581;1,581;0,057;0,52;0,6;0;;;;;;;;
3;1,595;1,595;0,047;0,522;0,6;0;;;;;;;;
3,02;1,569;1,569;0,07;0,524;0,6;0;;;;;;;;
3,04;1,588;1,588;0,057;0,524;0,6;0;;;;;;;;
3,06;1,601;1,601;0,047;0,525;0,6;0;;;;;;;;
3,08;1,575;1,575;0,07;0,527;0,6;0;;;;;;;;
3,1;1,56;1,56;0,084;0,529;0,6;0;;;;;;;;
3,12;1,59;1,59;0,061;0,529;0,6;0;;;;;;;;
3,14;1,608;1,608;0,047;0,531;0,6;0;;;;;;;;
3,16;1,582;1,582;0,07;0,532;0,6;0;;;;;;;;
3,18;1,566;1,566;0,083;0,534;0,6;0;;;;;;;;
3,2;1,562;1,562;0,088;0,536;0,6;0;;;;;;;;
3,22;1,563;1,563;0,088;0,538;0,6;0;;;;;;;;
3,24;1,564;1,564;0,088;0,539;0,6;0;;;;;;;;
3,26;1,565;1,565;0,087;0,541;0,6;0;;;;;;;;
3,28;1,6;1,6;0,061;0,541;0,6;0;;;;;;;;
3,3;1,617;1,617;0,047;0,543;0,6;0;;;;;;;;
3,32;1,591;1,591;0,069;0,545;0,6;0;;;;;;;;
3,34;1,574;1,574;0,083;0,546;0,6;0;;;;;;;;
3,36;1,569;1,569;0,088;0,548;0,6;0;;;;;;;;
3,38;1,603;1,603;0,062;0,548;0,6;0;;;;;;;;
3,4;1,621;1,621;0,047;0,55;0,6;0;;;;;;;;
3,42;1,594;1,594;0,069;0,552;0,6;0;;;;;;;;
3,44;1,611;1,611;0,057;0,552;0,6;0;;;;;;;;
3,46;1,623;1,623;0,047;0,553;0,6;0;;;;;;;;
3,48;1,629;1,629;0,044;0,553;0,6;0;;;;;;;;
3,5;1,63;1,63;0,043;0,555;0,6;0;;;;;;;;
3,52;1,632;1,632;0,043;0,555;0,6;0;;;;;;;;
3,54;1,632;1,632;0,044;0,557;0,6;0;;;;;;;;
3,56;1,633;1,633;0,044;0,557;0,6;0;;;;;;;;
3,58;1,633;1,633;0,044;0,559;0,6;0;;;;;;;;
3,6;1,635;1,635;0,044;0,559;0,6;0;;;;;;;;
3,62;1,635;1,635;0,044;0,56;0,6;0;;;;;;;;
