Tiempo ,Entrada,ANGULO,POSICION
3.4,0.0,0.34,0.272
3.42,0.0,0.284,0.272
3.44,0.0,0.223,0.272
3.46,0.0,0.159,0.272
3.48,0.0,0.094,0.272
3.5,0.0,0.026,0.272
3.52,0.0,-0.04,0.272
3.54,0.0,-0.108,0.272
3.56,0.0,-0.173,0.272
3.58,0.0,-0.237,0.272
3.6,0.0,-0.297,0.272
3.62,0.0,-0.351,0.272
3.64,0.0,-0.401,0.272
3.66,0.0,-0.445,0.272
3.68,0.0,-0.485,0.272
3.7,0.0,-0.517,0.272
3.72,0.0,-0.541,0.272
3.74,0.0,-0.557,0.272
3.76,0.0,-0.567,0.272
3.78,0.0,-0.569,0.272
3.8,0.0,-0.562,0.272
3.82,0.0,-0.548,0.272
3.84,0.0,-0.524,0.272
3.86,0.0,-0.494,0.272
3.88,0.0,-0.457,0.272
3.9,0.0,-0.414,0.272
3.92,0.0,-0.365,0.272
3.94,0.0,-0.311,0.272
3.96,0.0,-0.253,0.272
3.98,0.0,-0.19,0.272
4.0,0.0,-0.126,0.272
4.02,0.0,-0.059,0.272
4.04,0.0,0.009,0.272
4.06,0.0,0.075,0.272
4.08,0.0,0.141,0.272
4.1,0.0,0.206,0.272
4.12,0.0,0.265,0.272
4.14,0.0,0.323,0.272
4.16,0.0,0.375,0.272
4.18,0.0,0.424,0.272
4.2,0.0,0.464,0.272
4.22,0.0,0.499,0.272
4.24,0.0,0.527,0.272
4.26,0.0,0.546,0.272
4.28,0.0,0.56,0.272
4.3,0.0,0.564,0.272
4.32,0.0,0.562,0.272
4.34,0.0,0.55,0.272
4.36,0.0,0.531,0.272
4.38,0.0,0.504,0.272
4.4,0.0,0.471,0.272
4.42,0.0,0.429,0.272
4.44,0.0,0.384,0.272
4.46,0.0,0.332,0.272
4.48,0.0,0.276,0.272
4.5,0.0,0.215,0.272
4.52,0.0,0.15,0.272
4.54,0.0,0.086,0.272
4.56,0.0,0.017,0.272
4.58,0.0,-0.049,0.272
4.6,0.0,-0.115,0.272
4.62,0.0,-0.18,0.272
4.64,0.0,-0.243,0.272
4.66,0.0,-0.3,0.272
4.68,0.0,-0.356,0.272
4.7,0.0,-0.405,0.272
4.72,0.0,-0.449,0.272
4.74,0.0,-0.487,0.272
4.76,0.0,-0.517,0.272
4.78,0.0,-0.541,0.272
4.8,0.0,-0.555,0.272
4.82,0.0,-0.564,0.272
4.84,0.0,-0.564,0.272
4.86,0.0,-0.557,0.272
4.88,0.0,-0.543,0.272
4.9,0.0,-0.518,0.272
4.92,0.0,-0.489,0.272
4.94,0.0,-0.45,0.272
4.96,0.0,-0.407,0.272
4.98,0.0,-0.356,0.272
5.0,0.0,-0.302,0.272
5.02,0.0,-0.244,0.272
5.04,0.0,-0.182,0.272
5.06,0.0,-0.117,0.272
5.08,0.0,-0.051,0.272
5.1,0.0,0.016,0.272
5.12,0.0,0.084,0.272
5.14,0.0,0.148,0.272
5.16,0.0,0.211,0.272
5.18,0.0,0.272,0.272
5.2,0.0,0.328,0.272
5.22,0.0,0.38,0.272
5.24,0.0,0.426,0.272
5.26,0.0,0.466,0.272
5.28,0.0,0.501,0.272
5.3,0.0,0.527,0.272
5.32,0.0,0.546,0.272
5.34,0.0,0.557,0.272
5.36,0.0,0.562,0.272
5.38,0.0,0.559,0.272
5.4,0.0,0.545,0.272
5.42,0.0,0.525,0.272
5.44,0.0,0.499,0.272
5.46,0.0,0.463,0.272
5.48,0.0,0.422,0.272
5.5,0.0,0.375,0.272
5.52,0.0,0.323,0.272
5.54,0.0,0.265,0.272
5.56,0.0,0.206,0.272
5.58,0.0,0.143,0.272
5.6,0.0,0.077,0.272
5.62,0.0,0.01,0.272
5.64,0.0,-0.056,0.272
5.66,0.0,-0.122,0.272
5.68,0.0,-0.187,0.272
5.7,0.0,-0.248,0.272
5.72,0.0,-0.305,0.272
5.74,0.0,-0.36,0.272
5.76,0.0,-0.408,0.272
5.78,0.0,-0.45,0.272
5.8,0.0,-0.489,0.272
5.82,0.0,-0.518,0.272
5.84,0.0,-0.539,0.272
5.86,0.0,-0.553,0.272
5.88,0.0,-0.56,0.272
5.9,0.0,-0.562,0.272
5.92,0.0,-0.553,0.272
5.94,0.0,-0.536,0.272
5.96,0.0,-0.513,0.272
5.98,0.0,-0.48,0.272
6.0,0.0,-0.443,0.272
6.02,0.0,-0.4,0.272
6.04,0.0,-0.349,0.272
6.06,0.0,-0.295,0.272
6.08,0.0,-0.236,0.272
6.1,0.0,-0.173,0.272
6.12,0.0,-0.108,0.272
6.14,0.0,-0.044,0.272
6.16,0.0,0.024,0.272
6.18,0.0,0.091,0.272
6.2,0.0,0.155,0.272
6.22,0.0,0.218,0.272
6.24,0.0,0.278,0.272
6.26,0.0,0.333,0.272
6.28,0.0,0.384,0.272
6.3,0.0,0.429,0.272
6.32,0.0,0.469,0.272
6.34,0.0,0.501,0.272
6.36,0.0,0.527,0.272
6.38,0.0,0.545,0.272
6.4,0.0,0.555,0.272
6.42,0.0,0.559,0.272
6.44,0.0,0.555,0.272
