Tiempo ,Entrada,ANGULO,POSICION
-0.4,0.0,0.0,0.0
-0.38,0.0,0.0,0.0
-0.36,0.0,0.0,0.0
-0.34,0.0,0.0,0.0
-0.32,0.0,0.0,0.0
-0.3,0.0,0.0,0.0
-0.28,0.0,0.0,0.0
-0.26,0.0,0.0,0.0
-0.24,0.0,0.0,0.0
-0.22,0.0,0.0,0.0
-0.2,0.0,0.0,0.0
-0.18,0.0,0.0,0.0
-0.16,0.0,0.0,0.0
-0.14,0.0,0.0,0.0
-0.12,0.0,0.0,0.0
-0.1,0.0,0.0,0.0
-0.08,0.0,0.0,0.0
-0.06,0.0,0.0,0.0
-0.04,0.0,0.0,0.0
-0.02,0.0,0.0,0.0
0.0,0.0,-0.0,-0.0
0.02,0.0,-0.0,-0.0
0.04,0.3,-0.0,-0.0
0.06,0.6,-0.0,-0.0
0.08,0.9,-0.0,-0.0
0.1,1.2,-0.0,-0.0
0.12,1.5,-0.0,-0.0
0.14,1.8,-0.0,0.0
0.16,2.1,-0.0,0.0
0.18,2.4,-0.003,0.0
0.2,2.7,-0.009,0.0
0.22,3.0,-0.014,0.001
0.24,3.3,-0.021,0.001
0.26,3.6,-0.031,0.002
0.28,3.9,-0.045,0.003
0.3,4.2,-0.056,0.004
0.32,4.5,-0.07,0.005
0.34,4.8,-0.086,0.006
0.36,5.1,-0.101,0.007
0.38,5.4,-0.117,0.009
0.4,5.7,-0.136,0.01
0.42,6.0,-0.157,0.012
0.44,6.3,-0.176,0.014
0.46,6.6,-0.199,0.017
0.48,6.9,-0.22,0.019
0.5,7.2,-0.239,0.022
0.52,7.5,-0.258,0.024
0.54,7.5,-0.278,0.027
0.56,7.5,-0.297,0.03
0.58,7.5,-0.311,0.033
0.6,7.5,-0.325,0.037
0.62,7.5,-0.332,0.04
0.64,7.5,-0.335,0.043
0.66,7.5,-0.337,0.047
0.68,7.5,-0.333,0.05
0.7,7.5,-0.325,0.054
0.72,7.5,-0.311,0.057
0.74,7.5,-0.297,0.061
0.76,7.5,-0.278,0.064
0.78,7.5,-0.251,0.068
0.8,7.5,-0.223,0.071
0.82,7.5,-0.197,0.075
0.84,7.5,-0.161,0.078
0.86,7.5,-0.127,0.082
0.88,7.5,-0.094,0.086
0.9,7.5,-0.058,0.089
0.92,7.5,-0.024,0.093
0.94,7.5,0.012,0.097
0.96,7.5,0.051,0.101
0.98,7.5,0.086,0.105
1.0,7.5,0.12,0.108
1.02,7.5,0.148,0.112
1.04,7.5,0.18,0.116
1.06,7.5,0.211,0.12
1.08,7.5,0.232,0.123
1.1,7.5,0.257,0.127
1.12,7.5,0.272,0.131
1.14,7.5,0.29,0.134
1.16,7.5,0.298,0.138
1.18,7.5,0.304,0.142
1.2,7.5,0.311,0.146
1.22,7.5,0.309,0.149
