=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.05.10 11:06:14 =~=~=~=~=~=~=~=~=~=~=~=



Tiempo ,REI,V_ANGULA,V_CARRIT,ANGULO,CARRITO,REFERENC

 -0.400,0,0,0,0,0,0
 -0.380,0,0,0,0,0,0
 -0.360,0,0,0,0,0,0
 -0.340,0,0,0,0,0,0
 -0.320,0,0,0,0,0,0
 -0.300,0,0,0,0,0,0
 -0.280,0,0,0,0,0,0
 -0.260,0,0,0,0,0,0
 -0.240,0,0,0,0,0,0
 -0.220,0,0,0,0,0,0
 -0.200,0,0,0,0,0,0
 -0.180,0,0,0,0,0,0
 -0.160,0,0,0,0,0,0
 -0.140,0,0,0,0,0,0
 -0.120,0,0,0,0,0,0
 -0.100,0,0,0,0,0,0
 -0.080,0,0,0,0,0,0
 -0.060,0,0,0,0,0,0
 -0.040,0,0,0,0,0,0
  1.600, 5.921, 0.172, 0.148,-0.000, 0.144, 0.500
  1.620, 5.953, 0.226, 0.144, 0.003, 0.147, 0.500
  1.640, 5.955, 0.134, 0.149, 0.005, 0.150, 0.500
  1.660, 5.984, 0.079, 0.148, 0.007, 0.153, 0.500
  1.680, 5.969, 0.083, 0.150, 0.009, 0.156, 0.500
  1.700, 5.966, 0.088, 0.152, 0.010, 0.159, 0.500
  1.720, 5.952, 0.043, 0.152, 0.010, 0.162, 0.500
  1.740, 5.932,-0.004, 0.155, 0.010, 0.165, 0.500
  1.760, 5.893,-0.048, 0.155, 0.009, 0.168, 0.500
  1.780, 5.862,-0.047, 0.157, 0.009, 0.171, 0.500
  1.800, 5.849, 0.001, 0.153, 0.009, 0.174, 0.500
  1.820, 5.808,-0.040, 0.153, 0.007, 0.178, 0.500
  1.840, 5.780,-0.047, 0.154, 0.007, 0.181, 0.500
  1.860, 5.719,-0.089, 0.155, 0.003, 0.184, 0.500
  1.880, 5.704,-0.046, 0.154, 0.005, 0.187, 0.500
  1.900, 5.677, 0.049, 0.150, 0.005, 0.190, 0.500
  1.920, 5.633,-0.038, 0.152, 0.003, 0.193, 0.500
  1.940, 5.617,-0.006, 0.152, 0.005, 0.196, 0.500
  1.960, 5.583, 0.003, 0.149, 0.003, 0.199, 0.500
  1.980, 5.553, 0.001, 0.152, 0.005, 0.202, 0.500
  2.000, 5.571, 0.133, 0.145, 0.009, 0.205, 0.500
  2.020, 5.529, 0.053, 0.146, 0.007, 0.208, 0.500
  2.040, 5.545, 0.037, 0.146, 0.010, 0.210, 0.500
  2.060, 5.544, 0.176, 0.141, 0.014, 0.213, 0.500
  2.080, 5.523, 0.097, 0.143, 0.014, 0.216, 0.500
  2.100, 5.548, 0.081, 0.141, 0.017, 0.219, 0.500
  2.120, 5.534, 0.130, 0.139, 0.019, 0.222, 0.500
  2.140, 5.531, 0.091, 0.139, 0.021, 0.225, 0.500
  2.160, 5.449,-0.049, 0.146, 0.017, 0.228, 0.500
  2.180, 5.449,-0.055, 0.145, 0.019, 0.230, 0.500
  2.200, 5.395, 0.045, 0.142, 0.019, 0.233, 0.500
  2.220, 5.344,-0.037, 0.146, 0.017, 0.236, 0.500
  2.240, 5.314,-0.050, 0.144, 0.017, 0.239, 0.500
  2.260, 5.262,-0.045, 0.143, 0.016, 0.242, 0.500
  2.280, 5.213,-0.088, 0.143, 0.014, 0.245, 0.500
  2.300, 5.155,-0.046, 0.144, 0.014, 0.248, 0.500
  2.320, 5.114,-0.040, 0.141, 0.012, 0.250, 0.500
  2.340, 5.069,-0.043, 0.141, 0.012, 0.253, 0.500
  2.360, 5.021,-0.044, 0.139, 0.010, 0.256, 0.500
  2.380, 4.926,-0.133, 0.144, 0.007, 0.259, 0.500
  2.400, 4.933,-0.005, 0.139, 0.010, 0.262, 0.500
  2.420, 4.874, 0.055, 0.134, 0.009, 0.264, 0.500
  2.440, 4.841,-0.040, 0.138, 0.009, 0.267, 0.500
  2.460, 4.839, 0.037, 0.130, 0.010, 0.270, 0.500
  2.480, 4.776, 0.006, 0.132, 0.009, 0.272, 0.500
  2.500, 4.764,-0.003, 0.131, 0.010, 0.275, 0.500
  2.520, 4.710, 0.044, 0.131, 0.010, 0.278, 0.500
  2.540, 4.689, 0.047, 0.131, 0.012, 0.280, 0.500
  2.560, 4.695, 0.133, 0.126, 0.016, 0.283, 0.500
  2.580, 4.754, 0.271, 0.117, 0.023, 0.285, 0.500
  2.600, 4.751, 0.229, 0.115, 0.024, 0.287, 0.500
  2.620, 4.677,-0.008, 0.128, 0.023, 0.290, 0.500
  2.640, 4.652,-0.019, 0.130, 0.024, 0.292, 0.500
  2.660, 4.716, 0.221, 0.115, 0.031, 0.295, 0.500
  2.680, 4.726, 0.238, 0.109, 0.033, 0.297, 0.500
  2.700, 4.681, 0.041, 0.119, 0.033, 0.299, 0.500
  2.720, 4.617,-0.017, 0.126, 0.033, 0.302, 0.500
  2.740, 4.629, 0.084, 0.119, 0.037, 0.304, 0.500
  2.760, 4.628, 0.140, 0.113, 0.038, 0.306, 0.500
  2.780, 4.514,-0.131, 0.123, 0.031, 0.309, 0.500
  2.800, 4.471,-0.198, 0.127, 0.031, 0.311, 0.500
  2.820, 4.404,-0.046, 0.120, 0.030, 0.314, 0.500
  2.840, 4.348,-0.164, 0.117, 0.024, 0.316, 0.500
  2.860, 4.271,-0.140, 0.121, 0.024, 0.319, 0.500
  2.880, 4.124,-0.218, 0.126, 0.016, 0.321, 0.500
  2.900, 4.152,-0.180, 0.115, 0.017, 0.323, 0.500
  2.920, 4.092, 0.051, 0.108, 0.017, 0.325, 0.500
  2.940, 3.951,-0.160, 0.120, 0.010, 0.328, 0.500
  2.960, 3.961,-0.103, 0.116, 0.014, 0.330, 0.500
  2.980, 3.935, 0.051, 0.102, 0.012, 0.332, 0.500
  3.000, 3.798,-0.210, 0.116, 0.005, 0.335, 0.500
  3.020, 3.804,-0.062, 0.113, 0.010, 0.337, 0.500
  3.040, 3.799, 0.147, 0.097, 0.010, 0.339, 0.500
  3.060, 3.726,-0.074, 0.105, 0.007, 0.341, 0.500
  3.080, 3.670,-0.061, 0.111, 0.009, 0.343, 0.500
  3.100, 3.705, 0.135, 0.097, 0.012, 0.345, 0.500
  3.120, 3.678, 0.103, 0.095, 0.012, 0.347, 0.500
  3.140, 3.588,-0.049, 0.108, 0.010, 0.349, 0.500
  3.160, 3.629, 0.033, 0.098, 0.014, 0.351, 0.500
  3.180, 3.589, 0.095, 0.094, 0.014, 0.353, 0.500
  3.200, 3.584, 0.092, 0.096, 0.017, 0.355, 0.500
  3.220, 3.581, 0.131, 0.092, 0.019, 0.357, 0.500
  3.240, 3.520, 0.045, 0.099, 0.019, 0.359, 0.500
  3.260, 3.534, 0.037, 0.095, 0.021, 0.360, 0.500
  3.280, 3.522, 0.087, 0.090, 0.023, 0.362, 0.500
  3.300, 3.461, 0.047, 0.096, 0.023, 0.364, 0.500
  3.320, 3.451,-0.004, 0.093, 0.023, 0.366, 0.500
  3.340, 3.425, 0.040, 0.092, 0.024, 0.368, 0.500
  3.360, 3.419, 0.092, 0.089, 0.026, 0.369, 0.500
  3.380, 3.378, 0.047, 0.090, 0.026, 0.371, 0.500
  3.400, 3.360,-0.005, 0.090, 0.026, 0.373, 0.500
  3.420, 3.332,-0.004, 0.087, 0.026, 0.375, 0.500
  3.440, 3.287, 0.000, 0.089, 0.026, 0.377, 0.500
  3.460, 3.235,-0.044, 0.089, 0.024, 0.379, 0.500
  3.480, 3.200,-0.047, 0.089, 0.024, 0.380, 0.500
  3.500, 3.179,-0.044, 0.083, 0.023, 0.382, 0.500
  3.520, 3.112,-0.043, 0.087, 0.023, 0.384, 0.500
  3.540, 3.060,-0.044, 0.088, 0.021, 0.385, 0.500
  3.560, 3.020,-0.088, 0.085, 0.019, 0.387, 0.500
  3.580, 2.975,-0.046, 0.085, 0.019, 0.389, 0.500
  3.600, 2.877,-0.173, 0.087, 0.012, 0.391, 0.500
  3.620, 2.873,-0.141, 0.083, 0.014, 0.392, 0.500
  3.640, 2.799, 0.005, 0.079, 0.012, 0.394, 0.500
  3.660, 2.751,-0.077, 0.082, 0.010, 0.395, 0.500
  3.680, 2.696,-0.094, 0.082, 0.009, 0.397, 0.500
  3.700, 2.669,-0.044, 0.079, 0.009, 0.399, 0.500
  3.720, 2.622,-0.040, 0.076, 0.007, 0.400, 0.500
  3.740, 2.604,-0.043, 0.074, 0.007, 0.401, 0.500
  3.760, 2.551, 0.000, 0.075, 0.007, 0.403, 0.500
  3.780, 2.539, 0.048, 0.073, 0.009, 0.404, 0.500
  3.800, 2.505, 0.047, 0.072, 0.009, 0.406, 0.500
  3.820, 2.496,-0.001, 0.071, 0.009, 0.407, 0.500
  3.840, 2.474, 0.040, 0.070, 0.010, 0.409, 0.500
  3.860, 2.433, 0.047, 0.072, 0.010, 0.410, 0.500
  3.880, 2.466, 0.089, 0.065, 0.014, 0.411, 0.500
  3.900, 2.430, 0.091, 0.065, 0.014, 0.413, 0.500
  3.920, 2.429, 0.043, 0.066, 0.016, 0.414, 0.500
  3.940, 2.382, 0.040, 0.068, 0.016, 0.416, 0.500
  3.960, 2.363,-0.001, 0.068, 0.016, 0.417, 0.500
  3.980, 2.377, 0.086, 0.063, 0.019, 0.418, 0.500
  4.000, 2.341, 0.094, 0.063, 0.019, 0.419, 0.500
  4.020, 2.352, 0.043, 0.062, 0.021, 0.421, 0.500
  4.040, 2.313, 0.084, 0.064, 0.023, 0.422, 0.500
  4.060, 2.269,-0.043, 0.066, 0.019, 0.423, 0.500
  4.080, 2.272,-0.010, 0.064, 0.023, 0.424, 0.500
  4.100, 2.204, 0.003, 0.064, 0.019, 0.426, 0.500
  4.120, 2.253, 0.001, 0.056, 0.023, 0.427, 0.500
  4.140, 2.184, 0.089, 0.059, 0.023, 0.428, 0.500
  4.160, 2.120,-0.128, 0.065, 0.017, 0.429, 0.500
  4.180, 2.203, 0.118, 0.055, 0.028, 0.430, 0.500
  4.200, 2.098, 0.107, 0.055, 0.021, 0.432, 0.500
  4.220, 2.130,-0.136, 0.058, 0.023, 0.433, 0.500
