Tiempo ;REI;V_ANGULA;V_CARRIT;ANGULO;CARRITO;REFERENC;;;;;;;;
1,42;8,184;0,129;0,202;0;0,151;0,5;;;;;;;;
1,44;8,246;0,128;0,203;0,005;0,155;0,5;;;;;;;;
1,46;8,347;0,22;0,199;0,009;0,159;0,5;;;;;;;;
1,48;7,945;-0,041;0,21;0,003;0,164;0,5;;;;;;;;
1,5;8,01;-0,021;0,211;0,009;0,168;0,5;;;;;;;;
1,52;8,089;0,135;0,202;0,009;0,172;0,5;;;;;;;;
1,54;7,927;0,01;0,205;0,009;0,176;0,5;;;;;;;;
1,56;7,903;0,034;0,207;0,01;0,18;0,5;;;;;;;;
1,58;7,706;-0,043;0,207;0,007;0,184;0,5;;;;;;;;
1,6;7,653;-0,05;0,209;0,009;0,189;0,5;;;;;;;;
1,62;7,755;0,089;0,202;0,01;0,192;0,5;;;;;;;;
1,64;7,733;0,099;0,198;0,012;0,196;0,5;;;;;;;;
1,66;7,671;0,088;0,204;0,014;0,201;0,5;;;;;;;;
1,68;7,661;0,086;0,198;0,016;0,204;0,5;;;;;;;;
1,7;7,609;0,087;0,2;0,017;0,209;0,5;;;;;;;;
1,72;7,571;0,087;0,201;0,019;0,212;0,5;;;;;;;;
1,74;7,845;0,265;0,191;0,028;0,216;0,5;;;;;;;;
1,76;7,746;0,232;0,191;0,028;0,22;0,5;;;;;;;;
1,78;7,569;0,038;0,193;0,03;0,224;0,5;;;;;;;;
1,8;7,536;0,072;0,195;0,031;0,228;0,5;;;;;;;;
1,82;7,429;0,046;0,197;0,031;0,232;0,5;;;;;;;;
1,84;7,478;0,086;0,191;0,035;0,236;0,5;;;;;;;;
1,86;7,151;-0,043;0,198;0,03;0,24;0,5;;;;;;;;
1,88;7,076;-0,099;0,197;0,031;0,243;0,5;;;;;;;;
1,9;7,032;-0,003;0,191;0,03;0,247;0,5;;;;;;;;
1,92;6,976;0,008;0,194;0,031;0,251;0,5;;;;;;;;
1,94;6,931;0,045;0,19;0,031;0,255;0,5;;;;;;;;
1,96;6,58;-0,131;0,194;0,026;0,259;0,5;;;;;;;;
1,98;6,735;-0,012;0,185;0,031;0,262;0,5;;;;;;;;
2;6,61;0,054;0,183;0,028;0,266;0,5;;;;;;;;
2,02;6,565;0,004;0,185;0,031;0,27;0,5;;;;;;;;
2,04;6,631;0,129;0,176;0,033;0,273;0,5;;;;;;;;
2,06;6,404;0,008;0,181;0,031;0,277;0,5;;;;;;;;
2,08;6,514;0,079;0,173;0,037;0,28;0,5;;;;;;;;
2,1;6,469;0,138;0,172;0,037;0,284;0,5;;;;;;;;
2,12;6,441;0,091;0,17;0,04;0,287;0,5;;;;;;;;
2,14;6,508;0,172;0,165;0,044;0,29;0,5;;;;;;;;
2,16;6,284;0,048;0,169;0,042;0,294;0,5;;;;;;;;
2,18;6,354;0,078;0,165;0,047;0,297;0,5;;;;;;;;
2,2;6,477;0,223;0,157;0,051;0,3;0,5;;;;;;;;
2,22;6,133;0,008;0,165;0,047;0,304;0,5;;;;;;;;
2,24;6,253;0,071;0,164;0,054;0,307;0,5;;;;;;;;
2,26;6,129;0,093;0,158;0,051;0,31;0,5;;;;;;;;
2,28;5,898;-0,089;0,162;0,051;0,313;0,5;;;;;;;;
2,3;5,732;-0,102;0,161;0,047;0,316;0,5;;;;;;;;
2,32;5,494;-0,177;0,165;0,044;0,32;0,5;;;;;;;;
2,34;5,558;-0,047;0,16;0,045;0,323;0,5;;;;;;;;
2,36;5,432;-0,033;0,153;0,042;0,326;0,5;;;;;;;;
2,38;5,3;-0,087;0,155;0,042;0,329;0,5;;;;;;;;
2,4;5,299;-0,003;0,15;0,042;0,332;0,5;;;;;;;;
2,42;5,063;-0,082;0,152;0,038;0,335;0,5;;;;;;;;
2,44;5,143;-0,005;0,146;0,042;0,338;0,5;;;;;;;;
2,46;5,013;0,006;0,14;0,038;0,341;0,5;;;;;;;;
2,48;4,927;-0,044;0,143;0,04;0,344;0,5;;;;;;;;
2,5;5,006;0,086;0,136;0,042;0,346;0,5;;;;;;;;
2,52;4,916;0,053;0,134;0,042;0,349;0,5;;;;;;;;
2,54;4,877;0,041;0,132;0,044;0,351;0,5;;;;;;;;
2,56;4,673;-0,046;0,131;0,04;0,354;0,5;;;;;;;;
2,58;4,555;-0,095;0,132;0,04;0,357;0,5;;;;;;;;
2,6;4,606;0,042;0,133;0,042;0,359;0,5;;;;;;;;
2,62;4,738;0,144;0,121;0,045;0,362;0,5;;;;;;;;
2,64;4,793;0,183;0,115;0,049;0,364;0,5;;;;;;;;
2,66;4,421;-0,044;0,123;0,044;0,367;0,5;;;;;;;;
2,68;4,241;-0,151;0,13;0,044;0,369;0,5;;;;;;;;
2,7;4,303;-0,006;0,123;0,044;0,371;0,5;;;;;;;;
2,72;4,451;0,101;0,107;0,047;0,374;0,5;;;;;;;;
2,74;4,372;0,096;0,109;0,047;0,376;0,5;;;;;;;;
2,76;3,894;-0,18;0,125;0,04;0,379;0,5;;;;;;;;
2,78;4,068;-0,064;0,115;0,045;0,38;0,5;;;;;;;;
2,8;4,259;0,188;0,103;0,047;0,383;0,5;;;;;;;;
2,82;3,782;-0,116;0,114;0,04;0,385;0,5;;;;;;;;
2,84;3,723;-0,156;0,115;0,042;0,387;0,5;;;;;;;;
2,86;3,764;0;0,106;0,04;0,389;0,5;;;;;;;;
2,88;3,397;-0,209;0,107;0,033;0,392;0,5;;;;;;;;
2,9;3,482;-0,102;0,107;0,037;0,394;0,5;;;;;;;;
2,92;3,528;0,055;0,099;0,035;0,395;0,5;;;;;;;;
2,94;3,339;-0,077;0,098;0,033;0,398;0,5;;;;;;;;
2,96;3,21;-0,098;0,102;0,031;0,4;0,5;;;;;;;;
2,98;3,236;-0,044;0,093;0,031;0,401;0,5;;;;;;;;
3;3,214;0,005;0,091;0,031;0,403;0,5;;;;;;;;
3,02;3,156;0,004;0,093;0,031;0,405;0,5;;;;;;;;
3,04;3,037;-0,045;0,09;0,03;0,407;0,5;;;;;;;;
3,06;3,12;0,041;0,09;0,033;0,409;0,5;;;;;;;;
3,08;2,98;0,006;0,087;0,03;0,41;0,5;;;;;;;;
3,1;3,009;-0,003;0,084;0,033;0,412;0,5;;;;;;;;
3,12;3,04;0,088;0,08;0,033;0,413;0,5;;;;;;;;
3,14;2,839;-0,039;0,085;0,031;0,415;0,5;;;;;;;;
3,16;2,79;-0,054;0,083;0,031;0,417;0,5;;;;;;;;
3,18;2,789;0;0,079;0,031;0,418;0,5;;;;;;;;
3,2;2,826;0,049;0,077;0,033;0,42;0,5;;;;;;;;
3,22;2,711;0,003;0,076;0,031;0,422;0,5;;;;;;;;
3,24;2,626;-0,048;0,077;0,031;0,423;0,5;;;;;;;;
3,26;2,604;-0,003;0,077;0,031;0,425;0,5;;;;;;;;
3,28;2,579;0,004;0,074;0,031;0,426;0,5;;;;;;;;
3,3;2,618;0,045;0,069;0,033;0,427;0,5;;;;;;;;
3,32;2,498;0,003;0,071;0,031;0,429;0,5;;;;;;;;
3,34;2,444;-0,048;0,067;0,031;0,43;0,5;;;;;;;;
3,36;2,429;-0,003;0,067;0,031;0,432;0,5;;;;;;;;
3,38;2,333;-0,041;0,067;0,03;0,433;0,5;;;;;;;;
3,4;2,347;-0,002;0,067;0,031;0,434;0,5;;;;;;;;
3,42;2,128;-0,086;0,069;0,026;0,436;0,5;;;;;;;;
3,44;2,23;-0,05;0,06;0,03;0,437;0,5;;;;;;;;
3,46;2,296;0,093;0,058;0,03;0,438;0,5;;;;;;;;
3,48;2,132;-0,034;0,06;0,028;0,439;0,5;;;;;;;;
3,5;2,137;-0,01;0,061;0,03;0,44;0,5;;;;;;;;
3,52;1,857;-0,131;0,064;0,023;0,442;0,5;;;;;;;;
3,54;2,032;-0,052;0,054;0,028;0,442;0,5;;;;;;;;
3,56;2,061;0,096;0,053;0,026;0,444;0,5;;;;;;;;
3,58;1,71;-0,167;0,059;0,021;0,445;0,5;;;;;;;;
3,6;1,999;0,026;0,051;0,028;0,446;0,5;;;;;;;;
3,62;1,808;0,015;0,05;0,021;0,447;0,5;;;;;;;;
3,64;1,697;-0,134;0,054;0,023;0,448;0,5;;;;;;;;
