Tiempo ;CONTROL;PID;ANGULO;REFERENCIA;PERTURBACION;;;;;;;
1,98;0,311;0,311;0,127;0,6;0;;;;;;;
2;0,34;0,34;0,134;0,6;0;;;;;;;
2,02;0,409;0,409;0,14;0,6;0;;;;;;;
2,04;0,462;0,462;0,145;0,6;0;;;;;;;
2,06;0,503;0,503;0,15;0,6;0;;;;;;;
2,08;0,536;0,536;0,155;0,6;0;;;;;;;
2,1;0,607;0,607;0,159;0,6;0;;;;;;;
2,12;0,663;0,663;0,162;0,6;0;;;;;;;
2,14;0,751;0,751;0,164;0,6;0;;;;;;;
2,16;0,773;0,773;0,168;0,6;0;;;;;;;
2,18;0,838;0,838;0,169;0,6;0;;;;;;;
2,2;0,889;0,889;0,171;0,6;0;;;;;;;
2,22;0,975;0,975;0,171;0,6;0;;;;;;;
2,24;0,996;0,996;0,173;0,6;0;;;;;;;
2,26;1,015;1,015;0,175;0,6;0;;;;;;;
2,28;1,079;1,079;0,175;0,6;0;;;;;;;
2,3;1,084;1,084;0,176;0,6;0;;;;;;;
2,32;1,091;1,091;0,178;0,6;0;;;;;;;
2,34;1,101;1,101;0,18;0,6;0;;;;;;;
2,36;1,113;1,113;0,182;0,6;0;;;;;;;
2,38;1,08;1,08;0,185;0,6;0;;;;;;;
2,4;1,06;1,06;0,188;0,6;0;;;;;;;
2,42;1,049;1,049;0,192;0,6;0;;;;;;;
2,44;1,045;1,045;0,195;0,6;0;;;;;;;
2,46;1,001;1,001;0,201;0,6;0;;;;;;;
2,48;0,927;0,927;0,208;0,6;0;;;;;;;
2,5;0,876;0,876;0,215;0,6;0;;;;;;;
2,52;0,887;0,887;0,22;0,6;0;;;;;;;
2,54;0,807;0,807;0,229;0,6;0;;;;;;;
2,56;0,796;0,796;0,236;0,6;0;;;;;;;
2,58;0,745;0,745;0,244;0,6;0;;;;;;;
2,6;0,71;0,71;0,253;0,6;0;;;;;;;
2,62;0,731;0,731;0,26;0,6;0;;;;;;;
2,64;0,702;0,702;0,269;0,6;0;;;;;;;
2,66;0,682;0,682;0,278;0,6;0;;;;;;;
2,68;0,714;0,714;0,284;0,6;0;;;;;;;
2,7;0,693;0,693;0,293;0,6;0;;;;;;;
2,72;0,723;0,723;0,3;0,6;0;;;;;;;
2,74;0,746;0,746;0,307;0,6;0;;;;;;;
2,76;0,763;0,763;0,314;0,6;0;;;;;;;
2,78;0,822;0,822;0,319;0,6;0;;;;;;;
2,8;0,865;0,865;0,325;0,6;0;;;;;;;
2,82;0,897;0,897;0,33;0,6;0;;;;;;;
2,84;0,966;0,966;0,333;0,6;0;;;;;;;
2,86;1,018;1,018;0,337;0,6;0;;;;;;;
2,88;1,101;1,101;0,339;0,6;0;;;;;;;
2,9;1,164;1,164;0,34;0,6;0;;;;;;;
2,92;1,21;1,21;0,342;0,6;0;;;;;;;
2,94;1,246;1,246;0,344;0,6;0;;;;;;;
2,96;1,319;1,319;0,344;0,6;0;;;;;;;
2,98;1,374;1,374;0,344;0,6;0;;;;;;;
3;1,417;1,417;0,344;0,6;0;;;;;;;
3,02;1,405;1,405;0,346;0,6;0;;;;;;;
3,04;1,444;1,444;0,346;0,6;0;;;;;;;
3,06;1,475;1,475;0,346;0,6;0;;;;;;;
3,08;1,454;1,454;0,347;0,6;0;;;;;;;
3,1;1,442;1,442;0,349;0,6;0;;;;;;;
3,12;1,436;1,436;0,351;0,6;0;;;;;;;
3,14;1,434;1,434;0,353;0,6;0;;;;;;;
3,16;1,389;1,389;0,356;0,6;0;;;;;;;
3,18;1,314;1,314;0,361;0,6;0;;;;;;;
3,2;1,306;1,306;0,365;0,6;0;;;;;;;
3,22;1,257;1,257;0,37;0,6;0;;;;;;;
3,24;1,223;1,223;0,375;0,6;0;;;;;;;
3,26;1,154;1,154;0,382;0,6;0;;;;;;;
3,28;1,105;1,105;0,389;0,6;0;;;;;;;
3,3;1,115;1,115;0,394;0,6;0;;;;;;;
3,32;1,078;1,078;0,401;0,6;0;;;;;;;
3,34;1,051;1,051;0,408;0,6;0;;;;;;;
3,36;1,032;1,032;0,415;0,6;0;;;;;;;
3,38;1,018;1,018;0,422;0,6;0;;;;;;;
3,4;1,007;1,007;0,429;0,6;0;;;;;;;
3,42;1,044;1,044;0,435;0,6;0;;;;;;;
3,44;1,026;1,026;0,442;0,6;0;;;;;;;
3,46;1,057;1,057;0,447;0,6;0;;;;;;;
3,48;1,125;1,125;0,45;0,6;0;;;;;;;
3,5;1,174;1,174;0,454;0,6;0;;;;;;;
3,52;1,209;1,209;0,457;0,6;0;;;;;;;
3,54;1,234;1,234;0,461;0,6;0;;;;;;;
3,56;1,298;1,298;0,463;0,6;0;;;;;;;
3,58;1,39;1,39;0,463;0,6;0;;;;;;;
3,6;1,412;1,412;0,464;0,6;0;;;;;;;
3,62;1,474;1,474;0,464;0,6;0;;;;;;;
3,64;1,519;1,519;0,464;0,6;0;;;;;;;
3,66;1,554;1,554;0,464;0,6;0;;;;;;;
3,68;1,625;1,625;0,463;0,6;0;;;;;;;
3,7;1,633;1,633;0,463;0,6;0;;;;;;;
3,72;1,64;1,64;0,463;0,6;0;;;;;;;
3,74;1,646;1,646;0,463;0,6;0;;;;;;;
3,76;1,653;1,653;0,463;0,6;0;;;;;;;
3,78;1,659;1,659;0,463;0,6;0;;;;;;;
3,8;1,62;1,62;0,464;0,6;0;;;;;;;
3,82;1,638;1,638;0,464;0,6;0;;;;;;;
3,84;1,607;1,607;0,466;0,6;0;;;;;;;
3,86;1,541;1,541;0,469;0,6;0;;;;;;;
3,88;1,54;1,54;0,471;0,6;0;;;;;;;
3,9;1,494;1,494;0,475;0,6;0;;;;;;;
3,92;1,417;1,417;0,48;0,6;0;;;;;;;
3,94;1,406;1,406;0,483;0,6;0;;;;;;;
3,96;1,354;1,354;0,489;0,6;0;;;;;;;
3,98;1,361;1,361;0,492;0,6;0;;;;;;;
4;1,321;1,321;0,497;0,6;0;;;;;;;
4,02;1,292;1,292;0,503;0,6;0;;;;;;;
4,04;1,315;1,315;0,506;0,6;0;;;;;;;
4,06;1,287;1,287;0,511;0,6;0;;;;;;;
4,08;1,311;1,311;0,515;0,6;0;;;;;;;
4,1;1,283;1,283;0,52;0,6;0;;;;;;;
4,12;1,307;1,307;0,524;0,6;0;;;;;;;
4,14;1,324;1,324;0,527;0,6;0;;;;;;;
4,16;1,38;1,38;0,529;0,6;0;;;;;;;
4,18;1,376;1,376;0,532;0,6;0;;;;;;;
4,2;1,418;1,418;0,534;0,6;0;;;;;;;
4,22;1,493;1,493;0,534;0,6;0;;;;;;;
4,24;1,502;1,502;0,536;0,6;0;;;;;;;
4,26;1,554;1,554;0,536;0,6;0;;;;;;;
4,28;1,591;1,591;0,536;0,6;0;;;;;;;
4,3;1,619;1,619;0,536;0,6;0;;;;;;;
4,32;1,685;1,685;0,534;0,6;0;;;;;;;
4,34;1,688;1,688;0,534;0,6;0;;;;;;;
4,36;1,691;1,691;0,534;0,6;0;;;;;;;
4,38;1,739;1,739;0,532;0,6;0;;;;;;;
4,4;1,73;1,73;0,532;0,6;0;;;;;;;
4,42;1,724;1,724;0,532;0,6;0;;;;;;;
